"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12030","Validate page title is not empty","","2026-05-24","passed","2026-05-24","","","",""
"","38775","Apply an unavailable filter combination returns graceful response","","2026-05-24","passed","2026-05-24","","","",""
"","26948","Apply brand filter and validate products -- @1.2 ","","2026-05-24","passed","2026-05-24","","","",""
"","11192","Validate product count is greater than zero","","2026-05-24","passed","2026-05-24","","","",""
"","86231","Complete guest checkout flow","","2026-05-24","passed","2026-05-24","","","",""
"","13820","Validate product cards are displayed","","2026-05-24","passed","2026-05-24","","","",""
"","19852","Search for a non-existent brand shows no results","","2026-05-24","passed","2026-05-24","","","",""
"","11854","Validate current URL contains baby-care","","2026-05-24","passed","2026-05-24","","","",""
"","28510","Apply rating filter and validate products -- @1.2 ","","2026-05-24","passed","2026-05-24","","","",""
"","27681","Apply brand filter and validate products -- @1.3 ","","2026-05-24","passed","2026-05-24","","","",""
"","27639","Apply rating filter and validate products -- @1.1 ","","2026-05-24","passed","2026-05-24","","","",""
"","27802","Apply brand filter and validate products -- @1.1 ","","2026-05-24","passed","2026-05-24","","","",""
"","31210","Add first product to bag and validate cart","","2026-05-24","passed","2026-05-24","","","",""
"","19519","Validate the page handles empty product scenarios","","2026-05-24","passed","2026-05-24","","","",""
